Rows,b,b_1,b_2,opt,time,error,EG,EM,ERI,L,Rand.
Average,3.55556,3.625,3.64167,3.89509,0.471709,1.77778,3.89733,3.91377,3.91501,4.27777,5.55494
1,3.5,3.5,3.5,3.75,0.197612,1.75,3.743,3.7515,3.7625,4.6316,5.1888
2,4,4,4,4.3125,0.762032,2,4.3125,4.3139,4.3078,4.7791,5.9066
3,5.5,5.5,5.5,5.91667,0.131654,2.75,5.9133,5.9217,5.9159,6.5915,8.5446
4,3.5,3.5,3.5,3.79167,0.045219,1.75,3.7815,3.773,3.7868,3.7864,5.4104
5,1,1,1,1,0.309338,0.5,0.9826,0.9982,1.001,0.9982,1.1678
6,4,4,4,4.27145,0.267189,2,4.3268,4.33927,4.34327,4.8718,6.4486
7,2,2,2,2,3.21331,1,2.0132,2.0214,1.976,1.9986,2.323
8,3.5,3.5,3.5,4.20954,0.381822,1.75,4.2562,4.553,4.5538,4.6366,6.536
9,3,3,3,3.09467,0.567688,1.5,3.0204,2.9934,3.007,3.0622,3.8886
10,4.5,4.5,4.5,4.63889,0.184466,2.25,4.6802,4.7898,4.7922,5.0118,6.9084
11,3,3,3,3.33333,0.167108,1.5,3.3468,3.3173,3.3285,3.6669,4.9464
12,2,2,2,2,0.09348,1,2.0158,2.002,2.0068,2.0058,2.5454
13,2,2,2,2.5,0.477178,1,2.501,2.5028,2.5439,2.5832,3.6036
14,3,3,3,2.9854,1.66873,1.5,2.9832,3.0044,2.9872,3.5311,3.8562
15,5.5,6,6,6.125,0.062429,2.75,6.0875,6.1293,6.1288,6.303,8.0946
16,5,5.25,5.25,5.5,0.200944,2.5,5.4919,5.5045,5.4881,6.1773,8.2584
17,4.5,4.75,4.83333,5.125,0.153427,2.25,5.1784,5.1618,5.1627,5.9288,7.2548
18,5,5,5,5.44697,1.46496,2.5,5.415,5.4727,5.4808,6.2734,7.9528
19,5.5,5.5,5.5,5.55521,0.713961,2.75,5.6048,5.6138,5.6295,5.8608,8.0478
20,3,3,3,3,0.099261,1.5,2.9924,2.991,2.9922,3.3376,4.1894
21,4.5,4.5,4.5,4.7459,0.364859,2.25,4.756,4.7464,4.7405,5.9986,6.874
22,4,4,4,4.37541,0.272644,2,4.3394,4.3134,4.3352,4.847,6.4436
23,3.5,3.5,3.5,3.66667,0.21662,1.75,3.6469,3.6799,3.6646,4.4485,5.369
24,3.5,3.5,3.5,4.5,0.047489,1.75,4.4954,4.5066,4.5006,5.1118,6.4596
25,3.5,3.5,3.5,4.07222,0.839633,1.75,4.09537,4.09137,4.09063,4.7116,5.9
26,3.16667,3.16667,3.16667,3.16667,0.054262,1.58333,3.16627,3.15567,3.17347,3.15547,3.9634
27,3,3.33333,3.33333,3.75578,0.33517,1.5,3.70687,3.7018,3.68403,3.8668,5.1722
28,3,3,3,3,0.330878,1.5,3.0144,2.9956,3.0056,2.9916,3.9972
29,3,3.75,4.16667,4.51389,0.238817,1.5,4.5527,4.5629,4.5584,4.5497,7.2818
30,2.5,2.5,2.5,2.5,0.28909,1.25,2.5,2.5048,2.5026,2.6162,4.1152
