S,T,C,b,b_1,b_2,opt,time,error,EG,EM,ERI,L,Rand.
5,3,11,2.77778,2.87389,2.90083,3.0663,0.293659,1.38889,3.07986,3.07864,3.09499,3.35735,4.17895
6,3,13,3.55556,3.625,3.64167,3.89509,0.471709,1.77778,3.89733,3.91377,3.91501,4.27777,5.55494
7,3,15,3.95,4.00722,4.02333,4.13822,0.707204,1.975,4.1658,4.14932,4.15356,4.5612,6.10533
8,3,17,4.65,4.735,4.75639,4.84743,1.6663,2.325,4.86301,4.85488,4.88276,5.33921,7.13871
9,3,19,4.85,4.98389,5.01611,5.14182,1.48557,2.425,5.17061,5.19908,5.20471,5.66926,7.77452
10,3,21,5.19444,5.21389,5.21944,5.30624,0.788845,2.59722,5.30598,5.31023,5.31311,5.79483,7.91655
5,4,14,4.71389,4.915,4.99972,5.69928,4.55258,2.35694,5.81417,5.80246,5.88809,6.59677,8.23023
6,4,17,6.11667,6.47667,6.61472,7.17449,126.37,3.05833,7.36052,7.40853,7.47681,8.44364,11.016
7,4,19,6.26667,6.55833,6.76667,Inf,Inf,3.13333,7.35791,7.34707,7.51659,8.66009,11.4585
8,4,22,7.58333,7.85556,7.99389,Inf,Inf,3.79167,8.38138,8.41965,8.50301,9.82178,13.2049
9,4,25,8.81667,9.00222,9.10722,Inf,Inf,4.40833,9.65716,9.5977,9.72231,11.5214,15.6968
10,4,27,9.4,9.65833,9.82139,Inf,Inf,4.7,10.4656,10.4557,10.5432,12.2514,16.9636
5,5,17,7.53056,8.17222,8.43917,Inf,Inf,3.76528,10.3751,10.3246,10.6785,11.9647,14.9815
6,5,21,8.325,8.72333,8.9,Inf,Inf,4.1625,10.3583,10.3024,10.574,12.5369,16.1455
7,5,24,9.80556,10.2717,10.5431,Inf,Inf,4.90278,12.0799,12.1012,12.4864,14.7808,19.6673
8,5,27,11.4611,11.9828,12.28,Inf,Inf,5.73056,13.726,13.5969,14.1107,16.9952,22.8373
9,5,31,13.15,13.8367,14.1847,Inf,Inf,6.575,15.9115,15.9588,16.8213,20.1592,27.3531
10,5,34,14.4444,14.8344,15.0658,Inf,Inf,7.22222,16.2921,16.2901,16.6207,21.1218,28.8605
5,6,20,9.68889,10.5617,11.1186,Inf,Inf,4.84444,15.0031,14.9051,16.0086,18.2245,22.7882
6,6,24,11.7667,12.41,12.8042,Inf,Inf,5.88333,15.9415,15.9129,16.8621,19.8294,25.4513
7,6,28,13.6444,14.4711,14.9122,Inf,Inf,6.82222,18.3582,18.2557,19.3207,23.099,31.0251
8,6,32,15.45,16.2833,16.7242,Inf,Inf,7.725,19.9443,19.8254,21.2055,25.7333,34.7017
9,6,36,16.85,17.3933,17.8047,Inf,Inf,8.425,20.9886,20.8264,21.9728,28.0455,38.0428
10,6,40,19.4861,20.2411,20.6631,Inf,Inf,9.74306,23.8344,23.6526,24.9563,32.0446,44.1151
