Rows,b,b_1,b_2,opt,time,EG,EM,ERI,L,Rand.
Average,6.27778,6.64444,7.05556,7.59491,3.74213,7.85241,7.80415,8.07888,9.41222,12.3572
1,9,10,10,10.5,0.0624578,10.9166,10.9087,10.7446,12.9578,18.4424
2,5.5,7.5,7.5,8,0.921169,8.3771,8.7823,9.2635,8.3322,13.8836
3,7,7,8,8,0.126905,8.0082,8.0144,8.477,10.3378,12.5826
4,4.5,4.5,5.5,5.5,0.014206,5.5062,5.495,5.5014,6.4714,8.1174
5,3.5,5,6.5,7,0.696247,8.4998,8.5024,8.4872,8.5567,11.6134
6,5.5,5.5,6.5,6.5,0.044057,7.0033,6.5029,6.5066,8.2133,9.9716
7,4.5,4.5,4.5,4.75,0.0237494,4.7514,4.7466,4.7476,5.5106,7.417
8,6,6,6,6.91667,0.0404475,7.1616,6.924,7.2362,9.3918,11.1834
9,7,7,8,9.25,1.01325,10.4184,9.8172,9.7484,10.8368,15.6936
10,6.5,6.83333,7.33333,7.75,0.0672239,7.7485,8,7.9958,9.125,11.8474
11,8.5,9,9,9,0.0341537,9.005,8.9846,9.0026,11.7684,16.6568
12,7,7.5,7.5,7.5,0.0901559,7.5008,7.4958,7.9848,11.1719,12.7336
13,6,7,8.33333,9.58333,52.341,10.5326,10.1852,12.1609,11.3076,15.121
14,6.5,7,7.5,7.5,0.03477,7.5,7.5,7.5,8.2448,11.5968
15,5,5,6,6,0.026284,6.0074,6.011,5.9938,7.1664,9.4208
16,8,8,8,8.70833,0.134971,8.8794,9.0798,9.1312,11.9951,14.7668
17,5.5,5.83333,6,6.25,0.0531514,6.2658,6.2518,6.5112,8.1551,11.1808
18,7.5,7.5,7.5,7.5,0.01889,7.5,7.5,7.5,9.598,12.6322
19,6,6,6.66667,8,1.09896,8.0025,7.9996,8.3385,9.2564,13.4142
20,8.5,8.5,8.5,10.4167,38.4681,11.1026,11.0662,11.243,13.7378,17.2688
21,3.5,4,4.5,4.5,0.0207699,4.4994,4.5018,5.0066,7.9992,6.7602
22,5.5,5.5,6,6.5,0.0346187,6.4992,6.4964,6.5116,6.7565,9.8992
23,10,11.5,11.5,12.5,7.77626,13.1345,12.7528,12.9918,15.8298,20.1254
24,7,7.33333,7.5,8.5,1.50432,8.8415,9.1533,9.883,10.0734,12.9746
25,7.16667,7.16667,7.16667,8.38889,1.42557,8.4856,8.5293,8.5363,9.6167,13.286
26,3.5,3.5,3.5,4.75,0.0249073,4.8095,4.8314,4.7221,5.741,7.905
27,4.5,4.5,4.5,4.5,0.0103081,4.5064,4.4992,4.5006,6.4158,6.6464
28,7,7.33333,7.5,7.5,0.123315,7.5166,7.4998,7.9936,9.14473,12.1604
29,7.16667,7.16667,7.66667,7.66667,0.0367372,7.66,7.6706,7.8912,8.2478,11.3158
30,5.5,6.16667,7,8.41667,5.99679,8.9324,8.4224,10.2552,10.4069,14.0982
