Rows,b,b_1,b_2,opt,time,EG,EM,ERI,L,Rand.
Average,16.7722,17.3556,17.8278,Inf,Inf,20.3849,20.4018,21.8671,28.1307,38.105
1,15,15.3333,15.5,Inf,Inf,18.2672,18.8226,19.2384,23.636,31.6798
2,13.5,15,16.5,Inf,Inf,22.61,22.2558,25.9485,26.1958,40.4672
3,20,20,20,Inf,Inf,25.0858,27.395,31.2572,36.6047,47.6092
4,15.5,16,16.5,Inf,Inf,19.2567,19.2476,19.2568,25.8337,34.9746
5,18.5,18.5,18.5,Inf,Inf,20.009,20.0026,21.0066,31.3462,40.6046
6,18,19,20,Inf,Inf,23.7074,23.4528,26.4064,31.5392,43.2996
7,17,17,17,Inf,Inf,23.1693,22,25,27.3618,39.0052
8,18,20,22,Inf,Inf,22.4854,22.4936,25.0118,29.7479,38.3124
9,20.5,20.5,20.5,Inf,Inf,21.8204,21.8088,25.102,37.1908,42.3294
10,18.5,18.8333,19.1667,Inf,Inf,22.1692,22.8658,23.7387,30.2508,44.5104
11,18,19,20,Inf,Inf,24.6682,23.9934,26.3519,34.6337,46.2744
12,17,17,17,Inf,Inf,19.0501,19.033,20.4872,22.98,31.9136
13,15.5,15.5,17.5,Inf,Inf,23.9826,22.9974,24.5396,29.0772,40.8974
14,16,16,16,Inf,Inf,20.5794,19.7576,20.993,24.0497,34.3076
15,19,21,21,Inf,Inf,23.9078,25.584,27.2274,39.5665,49.8472
16,14.5,15,15.5,Inf,Inf,16.2366,16.2296,16.475,26.4711,34.1044
17,15.5,15.5,15.5,Inf,Inf,15.5006,15.5124,16.5318,24.0316,29.3028
18,13,13,13,Inf,Inf,13.7308,13.7478,13.8668,22.8007,28.491
19,18,18.6667,19.1667,Inf,Inf,20.7436,20.2646,21.3952,30.6567,41.1944
20,18,18.3333,18.6667,Inf,Inf,19,19,20.0256,28.6034,36.385
21,17,17.6667,18.1667,Inf,Inf,21.372,21.0871,22.0306,27.8055,38.9338
22,14.5,15.5,15.5,Inf,Inf,17.5104,17.5106,17.484,20.4485,30.2748
23,12.1667,13.1667,13.1667,Inf,Inf,14.988,15.1536,15.2246,19.6596,27.8392
24,15,15.6667,16.6667,Inf,Inf,19.9086,19.7632,20.5596,23.9014,32.5506
25,18,18,18,Inf,Inf,21.4962,21.9091,23.0341,30.2886,41.9754
26,18.5,18.5,18.5,18.5,123.386,18.4916,18.4858,20.3344,26.1106,36.7444
27,18,19.3333,20.3333,Inf,Inf,22.5248,22.507,22.242,29.2757,39.2874
28,17,18,19,Inf,Inf,20,20,22.8482,31.8295,43.12
29,16.5,17.1667,17.5,Inf,Inf,20.2836,20.1733,21.7364,25.6344,40.8294
30,17.5,18.5,19,19,62.4526,18.9932,18.9996,20.6582,26.3883,36.0838
