S,T,C,b,b_1,b_2,opt,time,EG,EM,ERI,L,Rand.
5,3,8,1.63889,1.66111,1.66111,1.70278,0.0123006,1.70324,1.70169,1.70515,1.81985,2.33945
6,3,9,1.68333,1.69444,1.69444,1.73889,0.0082893,1.75521,1.73863,1.73841,1.83845,2.43049
7,3,11,2.81667,2.86111,2.87778,2.87778,0.0165784,2.87781,2.87786,2.88993,2.96106,4.10801
8,3,12,2.28889,2.3,2.3,2.30833,0.0127225,2.30815,2.30832,2.30889,2.42849,3.22759
9,3,14,2.98333,2.98333,2.98333,3.00417,0.0239388,3.00452,3.00448,3.00373,3.18813,4.53694
10,3,15,3.18333,3.18333,3.18333,3.19167,0.0300631,3.19208,3.19971,3.19939,3.2668,4.75231
5,4,10,2.88333,2.95556,2.98889,3.10787,3.93758,3.11396,3.12551,3.13587,3.50847,4.62807
6,4,12,3.53889,3.61111,3.62778,3.67778,0.0558746,3.69461,3.67867,3.68318,4.11157,5.58835
7,4,14,3.96667,4.06111,4.1,4.16389,0.0365514,4.17231,4.1724,4.20626,4.6567,6.4658
8,4,16,4.68333,4.72778,4.75,4.81944,0.100677,4.82825,4.82692,4.83363,5.40959,7.48501
9,4,18,5.63333,5.70556,5.71111,5.72963,0.383006,5.72733,5.73035,5.72901,6.51541,9.29339
10,4,20,6.2,6.22778,6.22778,6.275,0.529319,6.29837,6.27474,6.27994,6.97986,10.4081
5,5,13,4.60556,4.87778,5.00556,5.32269,0.160152,5.38063,5.37773,5.56904,6.16271,7.99951
6,5,15,5.37222,5.56667,5.68333,5.91111,1.8468,5.95951,5.93755,6.00078,7.21325,9.53602
7,5,18,6.48889,6.65,6.74444,6.96528,1.38034,7.03882,7.00213,7.07031,8.45233,11.2688
8,5,20,7.2,7.41667,7.54444,7.84722,5.84672,7.96738,7.93326,8.06705,9.32225,13.4381
9,5,23,8.58333,8.68889,8.76667,Inf,Inf,9.05039,9.01708,9.11983,11.162,15.5591
10,5,25,9.1,9.37222,9.39444,Inf,Inf,9.60501,9.60208,9.72517,11.3787,16.642
5,6,15,6.27778,6.64444,7.05556,7.59491,15.0812,7.85207,7.80504,8.08047,9.40508,12.3619
6,6,18,7.18889,7.51667,7.67778,8.23194,14.9237,8.37814,8.29218,8.62175,10.0481,13.5253
7,6,21,8.81667,9.21111,9.50556,Inf,Inf,10.4039,10.349,10.7648,12.4635,17.6909
8,6,24,9.51667,9.85,10.0889,Inf,Inf,11.0989,10.9844,11.3393,13.287,19.291
9,6,27,10.3833,10.7778,10.9778,Inf,Inf,11.5935,11.581,11.7551,14.6194,20.9429
10,6,30,11.9111,12.2778,12.4444,Inf,Inf,13.0139,12.924,13.1511,15.9208,23.4107
