S,T,C,b,b_1,b_2,opt,time,EG,EM,ERI,L,Rand.
5,3,10,2.83333,2.97222,3.00556,3.07778,0.0186748,3.07697,3.07745,3.11556,3.33225,4.15824
6,3,12,3.6,3.7,3.72222,3.88889,0.0441725,3.88785,3.89767,3.89777,4.31725,5.53383
7,3,14,3.85,3.89444,3.91111,3.96806,0.0359124,3.98399,3.97671,4.02045,4.40206,6.053
8,3,16,4.47222,4.56667,4.60556,4.65556,0.0533664,4.65418,4.66237,4.68063,5.14204,6.94312
9,3,18,4.81111,4.95556,4.98889,5.09722,0.0944854,5.09732,5.11967,5.13648,5.6575,7.80402
10,3,20,5.20556,5.20556,5.20556,5.27222,0.0795463,5.28155,5.28,5.28067,5.79014,7.85337
5,4,13,4.69444,4.97222,5.09444,5.58009,0.0936938,5.67887,5.64417,5.75258,6.49613,8.22007
6,4,16,6.2,6.58889,6.77778,7.28333,0.738821,7.40903,7.44981,7.61365,8.53873,11.2863
7,4,19,6.25,6.6,6.85556,7.29028,0.812515,7.37464,7.35716,7.54178,8.89227,11.5979
8,4,21,7.61667,7.85,7.98333,8.29444,9.69145,8.32564,8.3483,8.43441,9.7573,13.262
9,4,24,8.98333,9.18333,9.3,9.57593,7.26043,9.63167,9.61387,9.76187,11.6637,16.0055
10,4,27,9.18333,9.54444,9.71111,Inf,Inf,10.2715,10.2922,10.3666,12.1495,16.9156
5,5,17,7.58333,8.52222,8.91667,Inf,Inf,10.4464,10.475,11.0393,12.2362,15.2788
6,5,20,8.28333,8.85,9.15556,Inf,Inf,10.3829,10.3804,10.8024,12.8454,16.4178
7,5,23,9.71667,10.2444,10.55,Inf,Inf,11.7623,11.7069,12.2985,14.9226,19.6623
8,5,27,11.6056,12.0778,12.5167,Inf,Inf,13.5579,13.4683,14.0962,17.1431,23.1089
9,5,30,13.1556,13.9,14.2889,Inf,Inf,15.6492,15.7918,16.7544,20.0314,27.3836
10,5,34,14.4556,14.8778,15.1556,Inf,Inf,16.1286,16.1879,16.6857,21.0661,29.0321
5,6,20,9.68889,10.7944,11.4611,Inf,Inf,14.5311,14.6518,15.7663,18.4564,22.9263
6,6,24,11.6667,12.2222,12.5361,Inf,Inf,15.1723,15.172,16.1446,19.3294,25.0359
7,6,28,13.5167,14.4111,14.9278,Inf,Inf,17.7038,17.6368,18.818,23.0967,30.7742
8,6,32,15.6,16.3944,16.7806,Inf,Inf,19.2725,19.505,20.8468,25.8929,34.6383
9,6,36,16.7722,17.3556,17.8278,Inf,Inf,20.3849,20.4018,21.8671,28.1307,38.105
10,6,40,19.55,20.2444,20.6556,Inf,Inf,23.3266,23.1962,24.4583,32.1104,44.0835
