Rows,opt,L
Average,5.18819,5.18881
1,5.50992,5.53645
2,4.78762,4.80008
3,5.07958,5.1049
4,5.38696,5.37928
5,5.07958,5.07267
6,5.38696,5.40467
7,4.78762,4.78787
8,5.07958,5.06082
9,5.38696,5.38665
10,5.50992,5.49385
11,5.50992,5.51328
12,5.50992,5.4777
13,5.38696,5.41852
14,5.50992,5.52085
15,4.78762,4.76232
16,4.78762,4.7876
17,4.78762,4.77388
18,5.07958,5.09452
19,5.07958,5.08615
20,5.50992,5.51377
21,5.38696,5.37318
22,5.81684,5.77425
23,5.07958,5.06588
24,4.78762,4.80507
25,4.78762,4.80322
26,5.07958,5.09623
27,5.07958,5.07477
28,5.50992,5.51605
29,5.38696,5.39042
30,4.78762,4.7895
