S,T,C,opt,L
5,3,8,2.07976,2.08237
6,3,9,2.09907,2.10068
7,3,11,2.69461,2.69217
8,3,12,2.61394,2.61573
9,3,14,3.30639,3.30504
10,3,15,3.364,3.36183
5,4,10,3.53841,3.53534
6,4,12,4.23364,4.23226
7,4,14,4.82046,4.81718
8,4,16,5.5087,5.51479
9,4,18,6.10035,6.09951
10,4,20,6.67772,6.67398
5,5,13,6.56487,6.56672
6,5,15,7.00925,7.00829
7,5,18,8.57788,8.5803
8,5,20,9.1179,9.118
9,5,23,10.8853,10.8871
10,5,25,11.1257,11.1305
5,6,15,9.1338,9.1388
6,6,18,10.7285,10.7304
7,6,21,12.2153,12.2162
8,6,24,13.8316,13.8327
9,6,27,Inf,15.3964
10,6,30,Inf,16.8739
