Instance,Batch,Online,Difference,%
Average,6.751,7.038,0.287,4.251
1,6.011,6.312,0.301,5.00749
2,7.793,8.088,0.295,3.78545
3,6.702,6.858,0.156,2.32766
4,5.072,5.335,0.263,5.18533
5,6.384,6.67,0.286,4.47995
6,7.811,8.046,0.235,3.00858
7,7.588,7.843,0.255,3.36057
8,5.677,6.022,0.345,6.07715
9,8.256,8.64,0.384,4.65116
10,4.954,5.226,0.272,5.49051
11,6.512,6.841,0.329,5.05221
12,7.611,7.927,0.316,4.15189
13,5.522,5.769,0.247,4.47302
14,9.321,9.646,0.325,3.48675
15,9.308,9.611,0.303,3.25526
16,2.811,3,0.189,6.72359
17,8.145,8.534,0.389,4.77594
18,7.847,8.066,0.219,2.79088
19,7.917,8.226,0.309,3.90299
20,7.66,7.859,0.199,2.59791
21,7.478,8.055,0.577,7.71597
22,4.965,5.193,0.228,4.59215
23,6.751,7.068,0.317,4.6956
24,6.779,6.992,0.213,3.14206
25,8.938,9.162,0.224,2.50615
26,7.732,7.868,0.136,1.75892
27,6.575,6.805,0.23,3.4981
28,10.654,10.988,0.334,3.13497
29,7.749,8.029,0.28,3.61337
30,10.626,10.942,0.316,2.97384
31,4.371,4.705,0.334,7.64127
32,3.726,3.854,0.128,3.43532
33,9.328,9.581,0.253,2.71226
34,5.567,5.763,0.196,3.52075
35,7.755,8.026,0.271,3.49452
36,6.443,6.658,0.215,3.33695
37,9.382,9.827,0.445,4.74313
38,3.947,4.206,0.259,6.56195
39,7.741,8.042,0.301,3.88839
40,7.575,7.838,0.263,3.47195
41,4.068,4.515,0.447,10.9882
42,3.965,4.173,0.208,5.2459
43,5.5,5.633,0.133,2.41818
44,8.027,8.474,0.447,5.56871
45,5.099,5.446,0.347,6.80526
46,6.644,6.976,0.332,4.99699
47,7.575,7.838,0.263,3.47195
48,4.868,5.068,0.2,4.10846
49,6.236,6.439,0.203,3.25529
50,5.651,5.895,0.244,4.31782
51,8.271,8.559,0.288,3.48205
52,7.291,7.699,0.408,5.59594
53,3.577,3.778,0.201,5.61923
54,10.766,11.2,0.434,4.03121
55,6.545,6.852,0.307,4.6906
56,5.213,5.502,0.289,5.54383
57,9.094,9.386,0.292,3.21091
58,6.449,6.698,0.249,3.86106
59,4.129,4.35,0.221,5.35239
60,5.155,5.474,0.319,6.18817
61,5.156,5.443,0.287,5.56633
62,10.769,11.046,0.277,2.5722
63,5.783,6.092,0.309,5.34325
64,7.788,8.114,0.326,4.18593
65,7.544,8.126,0.582,7.71474
66,4.129,4.35,0.221,5.35239
67,7.79,8.021,0.231,2.96534
68,8.197,8.603,0.406,4.95303
69,3.433,3.6,0.167,4.86455
70,5.318,5.525,0.207,3.89244
71,10.823,11.173,0.35,3.23385
72,4.418,4.653,0.235,5.31915
73,5.164,5.428,0.264,5.11232
74,9.094,9.386,0.292,3.21091
75,5.784,6.115,0.331,5.72268
76,6.011,6.312,0.301,5.00749
77,7.811,8.046,0.235,3.00858
78,6.535,6.87,0.335,5.12624
79,9.299,9.674,0.375,4.03269
80,4.137,4.314,0.177,4.27846
81,7.938,8.249,0.311,3.91786
82,5.727,5.959,0.232,4.05099
83,10.449,10.682,0.233,2.22988
84,6.672,7.039,0.367,5.5006
85,4.904,5.13,0.226,4.60848
86,5.589,5.807,0.218,3.90052
87,5.5,5.633,0.133,2.41818
88,5.791,6.113,0.322,5.56035
89,8.085,8.445,0.36,4.45269
90,6.681,6.961,0.28,4.19099
91,9.319,9.579,0.26,2.79
92,5.12,5.326,0.206,4.02344
93,7.588,7.843,0.255,3.36057
94,7.338,7.741,0.403,5.49196
95,5.475,5.779,0.304,5.55251
96,4.868,5.068,0.2,4.10846
97,6.011,6.453,0.442,7.35319
98,6.606,6.947,0.341,5.16197
99,5.58,6.097,0.517,9.26523
100,7.749,7.971,0.222,2.86489
